Type	English	Croatian	French	Spanish	Romanian	German	Portuguese
Void	Besides some quaint, small pets from a unknown marsh planet, this expedition brings nothing thrilling back from the trip.	Ekspedicija nije vratila ništa drugo osim nekih čudnih i malih stvorenja sa nepoznatog močvarnog planeta.	Mis à part quelques petits animaux provenant d`une planète marécageuse jusque là inconnue, votre expédition ne ramène rien de spécial.	Además de algunos pintorescos, pequeños animales de compañía de un desconocido planeta, esta expedición no trae nada emocionante a su regreso del viaje. 	Cu exceptia unor animale mici de pe o planeta mlastinoasa, expeditia nu aduce nimic interesant din calatorie.	Außer einiger kurioser kleiner Tierchen von einem unbekannten Sumpfplaneten bringt diese Expedition nichts Aufregendes von ihrer Reise mit.	Para além de uns pequenos e esquisitos animais de um planeta pantanoso, esta expedição não trouxe nada de especial desta viagem.
Void	Your expedition nearly ran into a neutron stars gravitation field and needed some time to free itself. Because of that a lot of Deuterium was consumed and the expedition fleet had to come back without any results.	Vaša ekspedicija je naletjela u gravitacijsko polje neutronske zvijezde i bilo joj je potrebno vremena da se oslobodi. Zbog toga je flota potrošila sav Deuterij i morala se vratiti bez rezultata.	Votre flotte d`expédition a eu chaud, elle s`est en effet retrouvée dans le champ de gravité d`une étoile à neutrons et a mis beaucoup de temps à s`en libérer. Ceci a coûté énormément de deutérium et la flotte d`expédition revient donc sans aucun résultat.	Tu expedición casi entra en el campo gravitacional de una estrella de neutrones y necesito algún tiempo para librarse ella misma. A causa de esto mucho Deuterio fue consumido y la flota en expedición tuvo que volver sin ningún resultado.	Expeditia ta aproape că a nimerit in câmpul de gravitație a unei stele neutronice. Din aceasta cauza s-a consumat mult Deuteriu si flota de expeditie a trebuit sa se intoarca fara nici un rezultat.	Deine Expeditionsflotte geriet gefährlich nahe an das Gravitationsfeld eines Neutronensterns und musste einige Zeit kämpfen, um sich daraus zu befreien. Dadurch wurde sehr viel Deuterium verbraucht und die Expeditionsflotte kehrte schließlich unverrichteter Dinge zurück.	A tua frota entrou no campo gravitacional de uma estrela de neutrões. Para conseguir escapar à enorme força da gravidade teve de gastar grande parte do Deutério e cancelar a expedição.Entrada do diário dos Engenheiros de Comunicações: Ao que parece, somos os primeiros humanos a entrar nesta parte da galáxia.
Early	Your expeditions doesn`t report any anomalies in the explored sector. But the fleet ran into some solar wind while returning. This resulted in the return trip being expedited. Your expedition returns home a bit earlier.		Votre expédition ne signale aucune particularité dans le secteur exploré. Au retour, votre flotte a été poussée par un vent solaire, lui permettant ainsi de rentrer à bon port avec un peu d`avance.	Tu expedición no informa de ninguna anomalía en el sector explorado. Pero la flota entro en algún viento solar mientras volvía. A causa de esto la vuelta de la flota se aceleró mucho. Tu expedición vuelve a casa un poco antes.		Deine Expedition meldet keine Besonderheiten in dem erforschten Sektor. Jedoch geriet die Flotte beim Rücksprung in einen Sonnenwind. Dadurch wurde der Sprung beschleunigt. Deine Expedition kehrt nun etwas früher nach Hause.	A tua expedição não reportou qualquer anomalia no sector explorado. Mas a frota enquanto voltava, apanhou um pouco de vento solar. Devido a esta ocorrência a viagem de volta foi mais rápida. A tua frota de expedição volta ao ponto de partida um pouco mais cedo.Entrada do diário dos Engenheiros de Comunicações: Parece que esta parte do universo ainda não foi explorada.
Early	An unexpected back coupling in the energy spools of the engines hastened the expeditions return, it returns home earlier than expected. First reports tell they do not have anything thrilling to account for.		Un petit défaut dans les réacteurs de votre flotte l`a fait voyager à une vitesse supérieure à la vitesse normale, ce qui fait que votre flotte rentre avec un peu d`avance sur ce qui était initialement prévu. A part cela, vos chercheurs n`ont rien découvert de spécial.	Un inesperado acoplamiento de energía en los motores aceleró la vuelta de la expedición, vuelve a casa antes de lo esperado. Los primeros informes dicen que no tienen nada emocionante a tener en cuenta.	O neasteptata explozie la motoarele din spate a grabit intoarcerea expeditiei, flota se intoarce acasa mai repede decat trebuia. Primele rapoarte arata ca nu au nimic interesant sa raporteze.	Eine unvorhergesehene Rückkopplung in den Energiespulen der Antriebsaggregate beschleunigte den Rücksprung der Expedition, so dass sie nun früher als erwartet zurückkehrt. Ersten Meldungen zufolge hat sie jedoch nichts Spannendes zu berichten.	Um problema no reactor da nave principal quase que destruiu toda a frota de expedição. Felizmente os técnicos foram muito competentes e evitaram o pior. A reparação demorou algum tempo e forçou o retorno prematuro da frota.
Early	The new and daring commander successfully traveled through an unstable wormhole to shorten the flight back! However, the expedition itself didn`t bring anything new.		Votre nouveau commandant de bord étant assez courageux, il a utilisé une irrégularité dans l`espace pour accélérer son retour. Il a réussi, mais pour le reste, l`expédition rentre bredouille.	¡El nuevo, y un poco atrevido, comandante viajó con éxito a través de un inestable agujero de gusano para acortar el vuelo de regreso! Sin embargo, la expedición en sí no trajo nada nuevo.	Noul si putin indraznetul comandant a traversat cu succes printr-o carie instabila pentru a scurta zborul inapoi! Dar, expeditia nu a adus nimic nou.	Der etwas wagemutige neue Kommandant nutzte ein instabiles Wurmloch, um den Rückflug zu verkürzen - mit Erfolg! Jedoch hat die Expedition selbst keine neuen Erkenntnisse gebracht.	Um comandante novo e destemido conseguiu atravessar um wormhole instável diminuindo assim a duração do voo! Contudo, a expedição não trouxe nada de novo.
Late	For unknown reasons the expeditions jump went totally wrong. It nearly landed in the heart of a sun. Fortunately it landed in a known system, but the jump back is going to take longer than thought.		Pour une raison inconnue, le saut spatial a complètement raté, l`expédition a failli se retrouver au centre d`un soleil, ce qui aurait entraîné sa perte. Heureusement, elle s`est retrouvée dans un système solaire connu, mais le voyage du retour dure plus longtemps qu`initialement prévu	A causa de razones desconocidas el salto de la expedición fue totalmente erróneo. Estuvo a punto de aterrizar en el corazón del sol. Afortunadamente esta aterrizó en un sistema conocido, el salto de vuelta va a llevar más tiempo del esperado.	Datorita motivelor necunoscute saltul expeditiei a mers total gresit. Aproape ca a aterizat in inima Soarelui. Din fericire a aterizat intr-un sistem cunoscut, saltul inapoi va dura mai mult totusi.	Aus bisher unbekannten Gründen ging der Sprung der Expeditionsflotte völlig daneben. Beinahe wären die Schiffe im Herzen einer Sonne angekommen. Zum Glück ist man in einem bekannten System gelandet, jedoch wird der Rücksprung länger dauern als ursprünglich gedacht.	Devido a razões ainda desconhecidas o salto da frota de exploração correu mal. Quase que aterrou perto de uma estrela. Nem tudo correu mal pois aterraram num sistema planetário conhecido. A viagem de retorno demorará mais um pouco que o previsto.
Late	Your navigator made a grave error in his computations that caused the expeditions jump to be miscalculated. Not only did the fleet miss the target completely, but the return trip will take a lot more time than originally planned.		Une erreur de calcul de votre officier de navigation vous a fait faire un saut vers une destination complètement erronée, retardant ainsi le retour de votre flotte.	El líder de la navegación tuvo un mal día y esto causó que el salto de la expedición fuera mal calculado. No solo la flota aterrizó en algún lugar completamente diferente, sino que ahora el camino de vuelta necesita mucho más tiempo.		Ein böser Patzer des Navigators führte zu einer Fehlkalkulation beim Sprung der Expedition. Nicht nur landete die Flotte an einem völlig falschen Ort, auch der Rückweg nahm erheblich mehr Zeit in Anspruch.	Um erro no sistema de navegação fez com que o salto de hiperespaço fosse mal calculado. Devido a esta falha a frota aterrou no local errado e devido a isso irá demorar mais tempo a voltar.
Late	The new navigation module is still buggy. The expeditions jump not only lead them in the wrong direction, but it used all the Deuterium fuel. Fortunately the fleets jump got them close to the departure planets moon. A bit disappointed the expedition now returns without impulse power. The return trip will take longer than expected.		Votre module de navigation semble avoir quelques soucis, malgré une phase de test approfondie, il reste un certain nombre de bugs inexplicables et inexpliqués. Non seulement le saut spatial a eu lieu dans la mauvaise direction, mais tout le deutérium a été consommé, et votre flotte n`est arrivée que peu derrière la lune de la planète de départ. Les réservoirs étant vides, la flotte va devoir rentrer avec l`aide des générateurs de secours, causant ainsi un retard important par rapport à la date de retour initialement prévue.	El nuevo módulo de navegación está aún luchando con algunos bugs. No sólo el salto de la expedición fue en una dirección totalmente errónea, sino también el deuterio ha sido gastado por completo. Afortunadamente el salto de la flota los dejó cerca de la luna del planeta de inicio. Algo decepcionada regresa la flota de expedición sin fuerza de impulso. A causa de ello, el retorno de la flota se retarda un poco.	Noul modul de navigare inca se lupta cu unele probleme. Saltul expeditiei nu numai ca a condus navele in directia total gresita dar a folosit si tot Deuteriul. Din fericire saltul flotei i-a dus destul de aproape de luna planetei stea. Putin dezamagit expeditia se intoarce acum fara impuls. Calea de intoarcere va dura ceva mai mult.	Das neue Navigationsmodul hat wohl doch noch mit einigen Bugs zu kämpfen. Nicht nur ging der Sprung der Expeditionsflotte in die völlig falsche Richtung, auch wurde das gesamte Deuterium verbraucht, wobei der Sprung der Flotte nur knapp hinter dem Mond des Startplaneten endete. Etwas enttäuscht kehrt die Expedition nun auf Impuls zurück. Dadurch wird die Rückkehr wohl ein wenig verzögert.	O novo módulo de navegação ainda tem alguns problemas, devido a isso o salto foi para um sítio completamente diferente do previsto e o Deutério foi quase todo gasto. Quanto ao salto, este calhou próximo da lua do planeta de saída. Obrigados a utilizar os motores secundários a equipa irá demorar mais do que pensavam a voltar ao planeta.
Late	The solar wind of a red giant ruined the expeditions jump and it will take quite some time to calculate the return jump. There was nothing besides the emptiness of space between the stars in that sector. The fleet will return later than expected.		Le vent solaire causé par une supernova a complètement faussé le saut spatial de votre expédition, il a donc fallu plus de temps pour effectuer les calculs nécessaires au saut pour rentrer à domicile. Cette fausse route est d`ailleurs le seul résultat notable de votre expédition.	El viento de una estrella gigante roja arruinó los saltos de la expedición, esta necesitara algo de tiempo para calcular el salto de retorno. No había nada aparte del vacío entre las estrellas en ese sector. La flota volverá más tarde de lo previsto.	Vantul unei stele ale unui gigant rosu a ruinat saltul expeditiei si va dura ceva timp sa calculeze introarcerea saltului. Nu exista nimic pe langa pustietatea dintre stele si reactor. Flota se va intoarce mai tarziu decat este asteptata.	Der Sternwind eines roten Riesen verfälschte den Sprung der Expedition dermaßen, dass es einige Zeit dauerte, den Rücksprung zu berechnen. Davon abgesehen gab es in dem Sektor, in dem die Expedition ankam, nichts außer der Leere zwischen den Sternen.	O vento solar de uma gigante vermelha fez com que o computador se enganasse nas coordenadas do salto de hiperespaço. O computador irá precisar de mais tempo para conseguir recalcular o salto de volta. Para além disso não encontramos nada na zona para onde saltamos.
Late	Your expedition went into a sector full of particle storms. This set the energy stores to overload and most of the ships main systems crashed. Your mechanics where able to avoid the worst, but the expedition is going to return with a big delay.	Ekspedicija je završila u sektoru sa olujama. To je potaklo spremnike energije na preopterećenje i većina sistema u brodu se srušilo. Mehaničari su uspjeli izbjeći najgore ali povratak ekspedicije će se znatno odužiti.	Votre expédition a dû faire face à plusieurs vents de particule. Du coup, les systèmes d`énergie ont surchauffé, causant des pannes importantes sur les systèmes principaux de vos vaisseaux. Les mécaniciens ont pu éviter le pire, cependant votre flotte reviendra avec un retard assez conséquent.	Tu expedición entró en un sector lleno de tormentas de partículas. Esto provocó que los almacenes de energía se sobrecargaran y la mayoría de los sistemas principales de las naves se averiaron. Tus mecánicos fueron capaces de evitar lo peor pero la flota va a volver con un gran retraso.	Expediția a ajuns în mijlocul unei furtuni de particule. Aceste energii se supra încarcă și distrug sistemele electronice ale navelor. Mecanicii tăi au reușit să salveze flota de expediție, dar drumul înapoi va fi puțin mai lung.	Deine Expedition geriet in einen Sektor mit verstärkten Partikelstürmen. Dadurch überluden sich die Energiespeicher der Flotte und bei sämtlichen Schiffen fielen die Hauptsysteme aus. Deine Mechaniker konnten das Schlimmste verhindern, jedoch wird die Expedition nun mit einiger Verspätung zurückkehren.	A missão entrou num sector com tempestades de plasma. Devido a isto as baterias de energia da frota sofreram um curto-circuito e tiveram de aterrar num planeta próximo. Os mecânicos conseguiram resolver o problema mas a missão irá voltar com um grande atraso.
Late	The expedition`s flagship collided with a foreign ship when it jumped into the fleet without any warning. The foreign ship exploded and the damage to the flagship was substantial. The expedition cannot continue in these conditions, and so the fleet will begin to make its way back once the needed repairs have been carried out.		Un de vos vaisseaux est entré en collision avec un vaisseau inconnu qui a foncé dans votre convoi sans aucune raison apparente. Le vaisseau inconnu a explosé, causant de sérieux dommages à vos vaisseaux. Dès les réparations d`urgence achevées, votre flotte fera demi-tour, l`expédition ne pouvant être continuée avec des vaisseaux dans cet état.	La nave principal de la expedición colisionó con una nave extranjera cuando esta saltó sobre la flota sin ningún aviso. La nave extranjera explotó y los daños a la nave principal fueron sustanciales. Tan pronto como las reparaciones necesarias sean realizadas la flota empezará el viaje de vuelta ya que la expedición no puede continuar en estas condiciones.	Nava mama a expeditiei a facut o coliziune cu o nava straina cand s-a teleportat direct in aceasta fara nici un avertisment. Nava straina a explodat si stricaciunile cauzate navei principale au fost substantiale. Cand reparatile necesare sunt facute flotele o sa-si inceapa calea de intoarcere deoarece expeditia nu mai poate continua in acele conditii.	Das Führungsschiff deiner Expeditionsflotte kollidierte mit einem fremden Schiff, das ohne Vorwarnung direkt in die Flotte sprang. Das fremde Schiff explodierte und die Schäden am Führungsschiff waren beachtlich. Sobald die gröbsten Reparaturen abgeschlossen sind, werden sich deine Schiffe auf den Rückweg machen, da in diesem Zustand die Expedition nicht fortgeführt werden kann.	A nave principal colidiu com uma nave estranha que tinha acabado de sair do salto de hiperespaço. A nave estranha explodiu com o impacto causando danos substanciais no casco da nave principal. Os mecânicos/engenheiros estão a fazer turnos de 20 horas para conseguir reparar os recursos principais para que possamos voltar e fazer reparações necessárias.
Aliens	Some exotic looking ships attacked the expedition fleet without warning!		Des vaisseaux inconnus ont attaqué la flotte d`expédition, sans avertissement et sans raison !	¡Algunas naves de apariencia exótica atacaron la expedición sin previo aviso!	Niste nave aparent exotice au atacat flota de expeditie fara nici un avertisment!	Einige fremdartig anmutende Schiffe haben ohne Vorwarnung die Expeditionsflotte angegriffen.	Algumas naves exóticas atacaram a frota de exploração sem qualquer aviso prévio!
Aliens	Your expedition fleet had an unfriendly first contact with an unknown species.		La flotte d`expédition a eu une rencontre peu amicale avec une espèce inconnue	Tu expedición no hizo un primer contacto amigable con una especie desconocida.		Deine Expeditionsflotte hatte einen nicht besonders freundlichen Erstkontakt mit einer unbekannten Spezies.	A tua frota de exploração teve um primeiro contacto com espécies desconhecidas não muito amigável.
Aliens	Our expedition was attacked by a small group of unknown ships!		Notre expédition a été attaquée par un petit groupe de vaisseaux inconnus !	¡Nuestra expedición fue atacada por un pequeño grupo de naves sin identificar!	Expeditia noastra a fost atacata de un grup de nave necunoscute!	Unsere Expedition wurde von einer kleinen Gruppe unbekannter Schiffe angegriffen.	A nossa missão foi atacada por um pequeno número de naves desconhecidas!
Aliens	An unknown species is attacking our expedition!		Une espèce inconnue attaque notre expédition !	¡Una especie desconocida ataca nuestra expedición!	Expeditia noastra a fost atacata de un grup de nave necunoscute!	Eine unbekannte Spezies greift unsere Expedition an!	Uma espécie desconhecida atacou a nossa missão exploratória!
Aliens	The connection to our expedition fleet was interrupted for a short time. We could decrypt their last message. They are under heavy attack, the aggressors could not be identified.		Nous avons perdu temporairement le contact avec notre flotte d`expédition. Si nous avons déchiffré correctement le dernier message, la flotte est en train d`être attaquée - les agresseurs n`ont pas pu être identifiés.	El contacto con nuestra expedición fue interrumpido por un corto tiempo. Podemos descifrar su último mensaje. Están bajo ataque, el agresor no pudo ser identificado.		Die Verbindung zu unserer Expeditionsflotte wurde kurzfristig gestört. Sofern wir die letzte Botschaft richtig entschlüsselt haben, steht die Flotte unter schwerem Feuer; die Aggressoren konnten nicht identifiziert werden.	A ligação com nossa frota exploratória foi interrompida durante um curto espaço de tempo. Pelo que conseguimos entender pela última mensagem enviada, ela está a ser atacada. Até agora não conseguiram identificar o agressor.
Aliens	Your expedition fleet seems to have flown into territory that belongs to an unknown but really aggressive and warlike alien race.		Votre flotte d`expédition a manifestement enfreint les espaces territoriaux d`une espèce inconnue jusqu`à présent mais qui semble extrêmement agressive.	Tu expedición parece haber entrado en un territorio que pertenece a una raza alien desconocida pero muy agresiva y marcial.		Deine Expeditionsflotte hat anscheinend das Hoheitsgebiet einer bisher unbekannten, aber äußerst aggressiven und kriegerischen Alienrasse verletzt.	Tudo indica que a tua frota entrou em território de uma espécie de raça alienígena extremamente agressiva.
